Title,Behavioural Tests,,,,,,
Issue/Branch,-,,,,,,
Assignee,-,,,,,,
Scenarios,Case ID,Executed On,Status (Pass/Failed/Not Tested),Actual Results,Code Release Version,Comments,Linked issue (bug)
Make sure TXs are not affected after the upgrade,337,,,,,,
Make sure claims are not affected after the upgrade,338,,,,,,
"Make sure claims are not affected after the upgrade, claims not present",339,,,,,,
Make sure unstaked APPs are removed from the state,340,,,,,,
Make sure that max age of evidence is enforced in blocks,341,,,,,,
Make sure security patch is functional on merkle sum index height,342,,,,,,
Make sure security patch is functional on blockhash for height,343,,,,,,
Make sure current latest version works even for lower upgradeTX versions,344,,,,,,
Make sure that max validator validation/param is working - max validators decreased,345,,,,,,
Make sure that max validator validation/param is working - max validators increased,346,,,,,,
Make sure that max validator validation/param is working - max validators decreased - node staking,347,,,,,,
Make sure that max validator validation/param is working - max validators increased - node staking,348,,,,,,
,,,,,,,
,,,,,,,
Scenarios Detailing,,,,,,,
"- Make sure security patch is functional on merkle sum index height. - Make sure security patch is functional on blockhash for height.   - Make sure claims are not affected after the upgrade
- Make sure claims are not affected after the upgrade, claims not present",349,,,,,,
,350,,,,,,
,351,,,,,,
,353,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"- Make sure that max validator validation/param is working - max validators decreased
- Make sure that max validator validation/param is working - max validators increased
- Make sure that max validator validation/param is working - max validators decreased - node staking
- Make sure that max validator validation/param is working - max validators increased - node staking",354,,,,,,
,355,,,,,,
,356,,,,,,
,357,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
MaxApplications - make sure is enabled after upgradeHeight.,358,,,,,,
MaxApplications - make sure N quantity of APPs can be staked before the upgradeHeight.,359,,,,,,
MaxApplications - Enabled - Block new exceeding APPs to stake.,360,,,,,,
MaxApplications - Enabled and Reached - Unstaking APPs allow new staking APP to be staked.,361,,,,,,
MaxApplications - Enabled and Decreased - Existing staked APPs remain staked.,362,,,,,,
MaxApplications - Enabled and Decreased - Existing staked APPs remain staked (if they are greater than maxAPP),363,,,,,,
MaxApplications - UpgradeHeight occurs - Existing staked APPs remain staked (if they are greater than maxAPP),364,,,,,,
,365,,,,,,
If a node removes that chain from their list they will not get paid for that claim / proof,366,,,,,,
The v1/dispatch sequence should not show the node anymore -,367,,,,,,
"If an app removes the chain from the list, a node should stop servicing the APP ",368,,,,,,
A node should get paid for an app that changed mid session,369,,,,,,
If an app updates stake and Max relays the node cannot do more than previous max relays,370,,,,,,
If a node changes service url the change should happen right away in the v1/dispatch sequence,371,,,,,,
