Title,Minium Viable Governance,,,,,,
Issue/Branch,-,,,,,,
Assignee,-,,,,,,
Scenarios,Case ID,Executed On,Status (Pass/Failed/Not Tested),Actual Results,Code Release Version,Comments,Linked issue (bug)
Change param pocketcore/ClaimExpiration,306,,,,,,
Change param pocketcore/MinimumNumberOfProofs,307,,,,,,
Change param pocketcore/SessionNodeCount,308,,,,,,
Change param pocketcore/ReplayAttackBurnMultiplier,309,,,,,,
Change param pocketcore/ClaimSubmissionWindow,310,,,,,,
Change param pocketcore/SupportedBlockchains,311,,,,,,
Change param pos/DAOAllocation,312,,,,,,
Change param pos/DowntimeJailDuration,313,,,,,,
Change param pos/MaxEvidenceAge,314,,,,,,
Change param pos/MaxJailedBlocks,315,,,,,,
Change param pos/MaxValidators,316,,,,,,
Change param pos/MaximumChains,317,,,,,,
Change param pos/MinSignedPerWindow,318,,,,,,
Change param pos/ProposerPercentage,319,,,,,,
Change param pos/RelaysToTokensMultiplier,320,,,,,,
Change param pos/BlocksPerSession,321,,,,,,
Change param pos/SignedBlocksWindow,322,,,,,,
Change param pos/SlashFractionDoubleSign,323,,,,,,
Change param pos/SlashFractionDowntime,324,,,,,,
Change param pos/StakeMinimum,325,,,,,,
Change param pos/UnstakingTime,326,,,,,,
Change param application/AppUnstakingTime,327,,,,,,
Change param application/MaxApplications,328,,,,,,
Change param application/MaximumChains,329,,,,,,
Change param application/ApplicationStakeMinimum,330,,,,,,
Change param application/BaseRelaysPerPOKT,331,,,,,,
Change param application/StabilityAdjustment,332,,,,,,
Change param application/ParticipationRateOn,333,,,,,,
Transfer funds from DAO ,334,,,,,,
Burn funds from DAO,335,,,,,,
Upgrade protocol,336,,,,,,
